ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,TA,ERA_SLOPE,1.00,-9999
1,TA,ERA_INTERCEPT,-0.00,-9999
1,TA,ERA_RMSE,1.33,-9999
1,TA,ERA_CORRELATION,0.97,-9999
2,PA,ERA_SLOPE,1.00,-9999
2,PA,ERA_INTERCEPT,0.00,-9999
2,PA,ERA_RMSE,0.03,-9999
2,PA,ERA_CORRELATION,1.00,-9999
3,VPD,ERA_SLOPE,1.00,-9999
3,VPD,ERA_INTERCEPT,-0.00,-9999
3,VPD,ERA_RMSE,1.33,-9999
3,VPD,ERA_CORRELATION,0.91,-9999
4,WS,ERA_SLOPE,1.00,-9999
4,WS,ERA_INTERCEPT,0.05,-9999
4,WS,ERA_RMSE,0.74,-9999
4,WS,ERA_CORRELATION,0.69,-9999
5,P,ERA_SLOPE,1.00,-9999
5,P,ERA_INTERCEPT,-9999,-9999
5,P,ERA_RMSE,-9999,-9999
5,P,ERA_CORRELATION,-9999,-9999
6,SW_IN,ERA_SLOPE,1.00,-9999
6,SW_IN,ERA_INTERCEPT,2.04,-9999
6,SW_IN,ERA_RMSE,72.83,-9999
6,SW_IN,ERA_CORRELATION,0.89,-9999
7,LW_IN,ERA_SLOPE,1.00,-9999
7,LW_IN,ERA_INTERCEPT,-0.00,-9999
7,LW_IN,ERA_RMSE,17.55,-9999
7,LW_IN,ERA_CORRELATION,0.82,-9999
8,LW_IN_JSB,ERA_SLOPE,1.00,-9999
8,LW_IN_JSB,ERA_INTERCEPT,-0.00,-9999
8,LW_IN_JSB,ERA_RMSE,17.50,-9999
8,LW_IN_JSB,ERA_CORRELATION,0.84,-9999
